event_address_id,event_address_lIne_1,event_address_lIne_2,event_city,event_state,event_zip,opportunity_name,date
54,Technology Drive,Bridge Point II,Pittsbrugh,PA,15219,UMPC Hillman Cancer Center Academy:Tech Drive X (TDX) ,2022-04-27
55,5115 Centre Ave,Hillman Cancer Center,Pittsbrugh,PA,15232,UMPC Hillman Cancer Center Academy:Cancer Biology (CB),2022-04-27
56,3600 Forbes Avenue,Suite 300 Iroquois Building,Pittsbrugh,PA,15213,Health Career Scholars Academy,2022-04-27
57,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:A14All@Carnegie,2022-04-27
58,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Architecture ,2022-04-27
59,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Art ,2022-04-27
60,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Computer Biology ,2022-04-27
61,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Computer Science Scholars ,2022-04-27
62,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Design ,2022-04-27
63,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Drama,2022-04-27
64,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Music ,2022-04-27
65,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:National High School Game Academy,2022-04-27
66,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Summer Academy for Math And Science,2022-04-27
67,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Summer Session,2022-04-27
68,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Carnegie Mellon's Pre-College Programs:Writing and Culture,2022-04-27
69,One Allegheny Ave.,,Pittsburgh,PA ,15212,Carengie Science Center 's Summer Camps,2022-04-27
70,One Allegheny Ave.,,Pittsburgh,PA ,15212,Pittsburgh Regional Science & Engineering Fair,2022-04-27
71,5000 Forbes Avenue,Warner Hall A12,Pittsburgh,PA ,15213,Visiting High School/Minor Students,2022-04-27
72,600 Forbes Ave,Dusquesne University ,Pittsburgh,PA ,15282,Summer Institute for High School Students,2022-04-27
73,600 Forbes Ave,Dusquesne University ,Pittsburgh,PA ,15282,STEM Summer Camp,2022-04-27
74,210 South Tenth Street,"Stright Hall, Room 233",Indiana,PA ,15705,National – The GenCyber Program,2022-04-27
75,4400 Forbes Avenue,,Pittsburgh,PA,15213,Youth Art Initiative,2022-04-27
76,4400 Forbes Avenue,,Pittsburgh,PA,15213,High School Summer Workshops,2022-04-27
77,4400 Forbes Avenue,,Pittsburgh,PA,15213,Youth Artist Studio,2022-04-27
78,4400 Forbes Avenue,,Pittsburgh,PA,15213,Teen Internship,2022-04-27
79,1047 Shady Avenue,,Pittsburgh,PA,15232,Video Production Workshop,2022-04-27
80,1047 Shady Avenue,,Pittsburgh,PA,15232,Intro to Metals and Jewelry,2022-04-27
81,1047 Shady Avenue,,Pittsburgh,PA,15232,Creative Writing Workshop,2022-04-27
82,5472 Penn Ave,,Pittsburgh,PA,15206,SiO2 Youth Programs ,2022-04-27
83,5472 Penn Ave,,Pittsburgh,PA,15206,SiO2 Teen Boot Camp,2022-04-27
84,1815 Metropolitan Street ,,Pittsburgh,PA ,15233,ATP (After-School Apprenticeship Training Program),2022-04-27
85,4401 Forbes Avenue,,Pittsburgh,PA,15213,Cargenie Museum of Art - Volunteer,2022-04-27
86,4401 Forbes Avenue,,Pittsburgh,PA,15213,Carnegie Museum of Natural History - Volunteer,2022-04-27
87,One Allegeny Avenue,,Pittsburgh,PA ,15212,Carnegie Science Center -Volunteer,2022-04-27
88,One Allegeny Avenue,,Pittsburgh,PA ,15212,Carnegie Science Center -Internships,2022-04-27
89,One Schenley Park,,Pittsburgh,PA,15213,Phipps Conservatory and Botanical Gardens - Internships,2022-04-27
90,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:3D Printing 101,2022-04-27
91,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:Basic Circuitry and Soldering 101,2022-04-27
92,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:Laser Cutting 101,2022-04-27
93,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:Laser Rotary Attachment 101 ,2022-04-27
94,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:3D Design for the Laser,2022-04-27
95,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:Vinyl Cutting 101,2022-04-27
96,One Allegheny Ave.,,Pittsburgh,PA ,15212,Fab Lab Public Workshops:Free FLOW – Fab Lab Open Workshop,2022-04-27
97,1936 5th Ave.,,Pittsburgh,PA,15219,Hack PGH,2022-04-27
98,Woodland Rd,,Pittsburgh,PA ,15232,Sustainable Leadership Academy,2022-04-27
99,744 E Warrington Ave,,Pittsburgh,PA ,15210,Beta Builder Program,2022-04-27
100,2545 Railroad St,Suite 300,Pittsburgh,PA,15222,ACE Mentory Program ,2022-04-27
101,130 Thackeray Avenue,,Pittsburgh,PA,15260,Accelerated High School,2022-04-27
102,3300 Preble Avenue  ,,Pittsburgh,PA,15233,ALCOSAN - Internships,2022-04-27
103,3300 Preble Avenue  ,,Pittsburgh,PA,15233,ALCOSAN - Job Shadowing,2022-04-27
104,3300 Preble Avenue  ,,Pittsburgh,PA,15233,Workforce And Vocational Exploration (W.A.V.E.) Hands-On Saturday,2022-04-27
